id,dataset,tema,fuente,organismo,url,formato,actualizacion,fecha_dato,fecha_prueba,licencia,seleccionado,motivo
1,Estaciones Ecobici,movilidad,Buenos Aires Data,Secretaría de Transporte y Obras Públicas (GCBA),https://data.buenosaires.gob.ar/dataset/estaciones-bicicletas-publicas,"CSV,JSON,GeoJSON",diaria/mensual,2026,2026-09-15,Creative Commons Attribution (CC-BY),si,"Base de movilidad activa; tiene coordenadas y permite agregar por comuna. Núcleo del MVP."
2,Ciclovías,movilidad,Buenos Aires Data,Secretaría de Transporte y Obras Públicas (GCBA),https://data.buenosaires.gob.ar/dataset/ciclovias,"CSV,GeoJSON,SHP",mensual,2026,2026-09-15,Creative Commons Attribution (CC-BY),si,"Complementa Ecobici; geometría de líneas permite calcular km por comuna."
3,Espacios verdes,ambiente,Buenos Aires Data,Ministerio de Espacio Público e Higiene Urbana (GCBA),https://data.buenosaires.gob.ar/dataset/espacios-verdes,"CSV,GeoJSON,SHP",anual,2026,2026-09-15,Creative Commons Attribution (CC-BY),si,"Indicador ambiental clave; superficie (m2) y comuna disponibles para cruce."
4,Hospitales,salud,Buenos Aires Data,Ministerio de Salud (GCBA),https://data.buenosaires.gob.ar/dataset/hospitales,"CSV,GeoJSON",anual,2026,2026-09-15,Creative Commons Attribution (CC-BY),si,"Servicios de salud con dirección y comuna; permite contar por comuna."
5,Centros de salud (CeSAC),salud,Buenos Aires Data,Ministerio de Salud (GCBA),https://data.buenosaires.gob.ar/dataset/centros-de-salud-y-accion-comunitaria,"CSV,GeoJSON",anual,2026,2026-09-15,Creative Commons Attribution (CC-BY),si,"Complementa hospitales con atención primaria por comuna."
6,Comunas,urbanismo,Buenos Aires Data,GCBA,https://data.buenosaires.gob.ar/dataset/comunas,"GeoJSON,SHP,CSV",estable,2026,2026-09-15,Creative Commons Attribution (CC-BY),si,"Capa base geográfica: 15 comunas. Clave de cruce (join) de todos los dominios."
7,Barrios,urbanismo,Buenos Aires Data,GCBA,https://data.buenosaires.gob.ar/dataset/barrios,"GeoJSON,SHP,CSV",estable,2026,2026-09-15,Creative Commons Attribution (CC-BY),no,"Útil pero redundante con comunas para el MVP; se pospone."
8,Catálogo de datos (dataset del catálogo),meta,Buenos Aires Data,GCBA,https://data.buenosaires.gob.ar/dataset/catalogo-datos-abiertos,"CSV,JSON",trimestral,2026-07-03,2026-09-15,Creative Commons Attribution (CC-BY),no,"Meta-dataset para automatizar el descubrimiento del catálogo; futura mejora."
9,API CKAN package_search,meta,Buenos Aires Data,GCBA,https://data.buenosaires.gob.ar/api/3/action/package_search,JSON (API),tiempo real,2026,2026-09-15,Creative Commons Attribution (CC-BY),si,"Permite descubrir y filtrar datasets por tema de forma programática."
10,Población por comuna (proyecciones),poblacion,Datos Argentina / DGEyC,Dirección General de Estadística y Censos (GCBA) / INDEC,https://datos.gob.ar/,"CSV,XLSX",anual,2026,2026-09-15,Creative Commons Attribution (CC-BY),no,"Para normalizar indicadores per cápita (por habitante). Mejora futura."
11,API de Catastro / GTFS,movilidad,Buenos Aires Data,GCBA,https://data.buenosaires.gob.ar/,API/GTFS,variable,2026,2026-09-15,Creative Commons Attribution (CC-BY),no,"HALLAZGO: el portal informa recursos API/GTFS temporalmente suspendidos en revisión. No dependemos de ellos; priorizamos descargables CSV/JSON/GeoJSON."
