id,nombre,comuna,lat,long,anclajes_totales
1,001 - Estacion Barrio 1,14,-34.533778,-58.516846,24
2,002 - Estacion Estacion 2,1,-34.570592,-58.431775,20
3,003 - Estacion Av 3,13,-34.686135,-58.34879,32
4,004 - ESTACION BARRIO 4,2,-34.574779,-58.365775,12
5,005 - Estacion Av 5,4,-34.621182,-58.45719,12
6,006 - Estacion Av 6,3,-34.571886,-58.343488,12
7,007 - ESTACION BARRIO 7,14,-34.530468,-58.439697,28
8,008 - ESTACION PLAZA 8,14,-34.623718,-58.421747,20
9,009 - Estacion Av 9,15,-34.602604,-58.518272,12
10,010 - Estacion Plaza 10,2,-34.595737,-58.447106,20
11,011 - ESTACION BARRIO 11,8,-34.539574,-58.514704,12
12,012 - ESTACION AV 12,1,-34.666109,-58.461829,28
13,013 - Estacion Av 13,13,-34.55541,-58.419729,28
14,014 - Estacion Av 14,14,-34.553599,-58.412743,28
15,015 - Estacion Av 15,4,-34.659448,-58.345529,16
16,016 - Estacion Plaza 16,1,0.0,-58.52104,16
17,017 - Estacion Estacion 17,14,-34.616443,-58.482284,32
18,018 - Estacion Plaza 18,14,-34.601532,-58.346724,24
19,019 - Estacion Barrio 19,13,-34.552776,-58.516162,28
20,020 - ESTACION PLAZA 20,,-34.662088,-58.472574,32
21,021 - ESTACION PARQUE 21,13,-34.573277,-58.395374,12
22,022 - ESTACION AV 22,10,-34.600619,-58.37033,20
23,023 - Estacion Barrio 23,10,-34.61635,-58.406323,24
24,024 - Estacion Barrio 24,4,-34.621613,-58.529576,32
25,025 - Estacion Parque 25,13,-34.574491,-58.431953,20
26,026 - Estacion Plaza 26,1,-34.617482,-58.360539,20
27,027 - Estacion Plaza 27,13,-34.672907,-58.459968,12
28,028 - Estacion Plaza 28,2,-34.558908,-58.494431,12
29,029 - ESTACION PARQUE 29,12,-34.54133,-58.447592,20
30,030 - Estacion Parque 30,8,-34.526356,-58.521046,32
31,031 - Estacion Parque 31,1,-34.549847,-58.361459,28
32,032 - Estacion Estacion 32,1,-34.546266,-58.43475,28
33,033 - Estacion Plaza 33,15,-34.688703,-58.356995,28
34,034 - ESTACION PLAZA 34,14,-34.552485,-58.482532,32
35,035 - ESTACION PLAZA 35,13,-34.689047,-58.421882,24
36,036 - Estacion Barrio 36,8,-34.699027,-58.38784,20
37,037 - ESTACION PLAZA 37,14,-34.565471,-58.390567,16
38,038 - ESTACION PLAZA 38,15,-34.688697,-58.338476,24
39,039 - ESTACION BARRIO 39,9,-34.630429,-58.423194,32
40,040 - Estacion Av 40,10,-34.536998,-58.478836,20
41,041 - Estacion Estacion 41,4,-34.681706,-58.453749,28
42,042 - Estacion Barrio 42,3,-34.669938,-58.503312,12
43,043 - Estacion Parque 43,12,-34.56677,-58.380782,12
44,044 - Estacion Parque 44,14,-34.565212,-58.379991,12
45,045 - Estacion Parque 45,,-34.534265,-58.490834,32
46,046 - ESTACION PARQUE 46,1,-34.60035,-58.497792,28
47,047 - Estacion Plaza 47,1,-34.615815,-58.519827,32
48,048 - Estacion Barrio 48,1,-34.698076,-58.35526,16
49,049 - Estacion Estacion 49,12,-34.660201,-58.499918,16
50,050 - ESTACION PARQUE 50,2,-34.699849,-58.445624,16
51,051 - Estacion Parque 51,5,-34.684093,-58.504976,32
52,052 - Estacion Barrio 52,14,-34.615633,-58.392847,28
53,053 - Estacion Plaza 53,7,-34.549473,-58.409341,16
54,054 - ESTACION BARRIO 54,12,-34.561989,-58.498581,24
55,055 - Estacion Barrio 55,3,-34.666021,-58.39214,20
56,056 - Estacion Parque 56,12,-34.567188,-58.456165,20
57,057 - Estacion Parque 57,2,-34.593514,-58.429691,24
58,058 - ESTACION ESTACION 58,9,-34.603773,-58.346272,20
59,059 - Estacion Estacion 59,2,-34.562863,-58.403875,24
60,060 - Estacion Estacion 60,11,-34.682573,-58.416527,28
61,061 - Estacion Av 61,13,-34.701663,-58.369195,12
62,062 - ESTACION PLAZA 62,14,-34.577551,-58.490718,20
63,063 - Estacion Av 63,1,-34.687084,-58.438879,20
64,064 - Estacion Av 64,4,-34.66949,-58.510997,20
65,065 - ESTACION PARQUE 65,14,-34.688466,-58.365878,32
66,066 - Estacion Parque 66,13,-34.543068,-58.494764,32
67,067 - ESTACION PLAZA 67,11,-34.543679,-58.441246,24
68,068 - ESTACION AV 68,14,-34.592307,-58.408338,20
69,069 - Estacion Estacion 69,1,-34.578417,-58.347193,12
70,070 - Estacion Estacion 70,13,-34.589823,-58.527712,12
71,071 - Estacion Barrio 71,4,-34.677446,-58.402961,32
72,072 - Estacion Estacion 72,11,0.0,-58.481257,24
73,073 - ESTACION PARQUE 73,2,-34.531665,-58.39753,20
74,074 - Estacion Av 74,15,-34.581141,-58.466992,12
75,075 - Estacion Plaza 75,2,-34.537778,-58.45723,12
76,076 - Estacion Parque 76,4,-34.579763,-58.452019,12
