id,nombre,comuna,long_metros,tipo
1,Ciclovia Diag 1,11,2986.5,bicisenda
2,Ciclovia Diag 2,5,2341.0,ciclovia
3,Ciclovia Av 3,3,567.7,bicisenda
4,Ciclovia Calle 4,5,2275.6,bicisenda
5,Ciclovia Diag 5,8,1329.5,bicisenda
6,Ciclovia Av 6,2,1982.4,bicisenda
7,Ciclovia Calle 7,2,2214.8,bicisenda
8,Ciclovia Calle 8,12,138.3,bicisenda
9,Ciclovia Calle 9,1,674.2,bicisenda
10,Ciclovia Calle 10,1,1906.0,ciclovia
11,Ciclovia Calle 11,4,1519.4,ciclovia
12,Ciclovia Diag 12,4,908.8,ciclovia
13,Ciclovia Av 13,12,485.7,bicisenda
14,Ciclovia Av 14,1,1739.4,bicisenda
15,Ciclovia Av 15,14,270.6,bicisenda
16,Ciclovia Av 16,3,2323.9,bicisenda
17,Ciclovia Av 17,1,1384.6,bicisenda
18,Ciclovia Calle 18,6,1739.4,ciclovia
19,Ciclovia Diag 19,7,1864.8,ciclovia
20,Ciclovia Av 20,11,937.6,ciclovia
21,Ciclovia Diag 21,13,1971.8,bicisenda
22,Ciclovia Av 22,2,1751.9,bicisenda
23,Ciclovia Av 23,14,267.5,bicisenda
24,Ciclovia Diag 24,5,1742.2,ciclovia
25,Ciclovia Diag 25,7,2796.8,ciclovia
26,Ciclovia Calle 26,3,2165.3,ciclovia
27,Ciclovia Diag 27,1,2831.9,bicisenda
28,Ciclovia Diag 28,7,967.8,bicisenda
29,Ciclovia Calle 29,2,425.4,bicisenda
30,Ciclovia Diag 30,6,524.0,ciclovia
31,Ciclovia Av 31,14,927.3,bicisenda
32,Ciclovia Diag 32,11,1019.6,bicisenda
33,Ciclovia Av 33,6,850.9,ciclovia
34,Ciclovia Av 34,1,1227.4,bicisenda
35,Ciclovia Calle 35,15,1516.2,ciclovia
36,Ciclovia Av 36,11,452.5,bicisenda
37,Ciclovia Av 37,11,1109.8,ciclovia
38,Ciclovia Calle 38,2,3004.2,bicisenda
39,Ciclovia Calle 39,14,2655.5,bicisenda
40,Ciclovia Av 40,13,873.7,ciclovia
41,Ciclovia Diag 41,4,379.4,bicisenda
42,Ciclovia Calle 42,6,1093.8,bicisenda
43,Ciclovia Calle 43,5,380.2,ciclovia
44,Ciclovia Av 44,1,1639.9,bicisenda
45,Ciclovia Diag 45,2,2179.2,bicisenda
46,Ciclovia Calle 46,3,2473.2,ciclovia
47,Ciclovia Diag 47,3,2988.5,ciclovia
48,Ciclovia Diag 48,1,537.2,ciclovia
49,Ciclovia Calle 49,7,2427.6,ciclovia
50,Ciclovia Calle 50,7,360.1,ciclovia
51,Ciclovia Calle 51,9,1819.5,ciclovia
52,Ciclovia Av 52,3,277.6,bicisenda
53,Ciclovia Av 53,14,1038.9,bicisenda
54,Ciclovia Calle 54,2,384.4,bicisenda
55,Ciclovia Av 55,12,1212.4,bicisenda
56,Ciclovia Calle 56,9,2402.5,bicisenda
57,Ciclovia Av 57,4,1284.0,ciclovia
58,Ciclovia Av 58,9,997.4,ciclovia
59,Ciclovia Av 59,6,1836.3,ciclovia
60,Ciclovia Diag 60,5,989.1,ciclovia
61,Ciclovia Calle 61,15,1633.8,ciclovia
62,Ciclovia Av 62,8,1421.0,ciclovia
63,Ciclovia Calle 63,13,1575.2,ciclovia
64,Ciclovia Diag 64,1,312.2,bicisenda
65,Ciclovia Av 65,10,1031.5,ciclovia
66,Ciclovia Diag 66,14,1356.6,ciclovia
67,Ciclovia Av 67,12,1183.2,bicisenda
68,Ciclovia Diag 68,9,2686.3,ciclovia
69,Ciclovia Calle 69,4,127.2,ciclovia
70,Ciclovia Calle 70,15,1399.9,bicisenda
71,Ciclovia Av 71,14,1567.2,ciclovia
72,Ciclovia Av 72,11,1283.2,ciclovia
73,Ciclovia Calle 73,15,2094.8,ciclovia
74,Ciclovia Diag 74,3,228.3,ciclovia
75,Ciclovia Calle 75,2,2162.5,bicisenda
76,Ciclovia Diag 76,4,3174.6,bicisenda
77,Ciclovia Av 77,2,2424.2,bicisenda
78,Ciclovia Av 78,2,2498.3,bicisenda
79,Ciclovia Av 79,1,782.7,ciclovia
80,Ciclovia Calle 80,1,848.4,ciclovia
81,Ciclovia Av 81,1,2972.0,ciclovia
82,Ciclovia Av 82,5,1816.7,bicisenda
83,Ciclovia Av 83,14,2620.5,bicisenda
84,Ciclovia Calle 84,6,760.7,ciclovia
85,Ciclovia Diag 85,1,1202.8,bicisenda
86,Ciclovia Av 86,7,2799.2,bicisenda
87,Ciclovia Diag 87,3,933.8,bicisenda
88,Ciclovia Diag 88,1,1813.7,bicisenda
89,Ciclovia Diag 89,6,3131.6,bicisenda
90,Ciclovia Diag 90,13,3072.9,bicisenda
91,Ciclovia Diag 91,2,1781.2,bicisenda
92,Ciclovia Calle 92,1,2390.5,ciclovia
93,Ciclovia Av 93,14,2411.3,ciclovia
94,Ciclovia Calle 94,3,1793.2,bicisenda
95,Ciclovia Diag 95,5,956.1,bicisenda
96,Ciclovia Calle 96,14,143.7,bicisenda
97,Ciclovia Calle 97,14,1042.9,ciclovia
98,Ciclovia Calle 98,9,3186.6,bicisenda
99,Ciclovia Diag 99,12,1406.7,ciclovia
100,Ciclovia Diag 100,4,851.1,ciclovia
101,Ciclovia Calle 101,14,2118.6,ciclovia
102,Ciclovia Calle 102,7,646.2,ciclovia
103,Ciclovia Calle 103,7,2708.5,bicisenda
104,Ciclovia Av 104,6,1646.2,ciclovia
105,Ciclovia Av 105,8,2602.0,ciclovia
106,Ciclovia Calle 106,11,556.4,ciclovia
107,Ciclovia Av 107,3,817.8,bicisenda
108,Ciclovia Diag 108,1,158.8,ciclovia
109,Ciclovia Av 109,14,564.5,bicisenda
110,Ciclovia Calle 110,9,1523.9,bicisenda
111,Ciclovia Diag 111,2,339.8,ciclovia
112,Ciclovia Calle 112,14,2098.4,ciclovia
113,Ciclovia Calle 113,12,175.7,ciclovia
114,Ciclovia Calle 114,1,1123.7,ciclovia
115,Ciclovia Diag 115,12,1915.4,bicisenda
116,Ciclovia Diag 116,9,2193.8,ciclovia
117,Ciclovia Calle 117,10,2576.1,bicisenda
118,Ciclovia Av 118,2,2966.5,ciclovia
119,Ciclovia Calle 119,11,2928.6,bicisenda
120,Ciclovia Calle 120,13,1967.0,bicisenda
