id,nombre,comuna,area_m2,clasificacion,lat,lon
1,Plazoleta 1,3,48598.9,plaza,-34.641477,-58.373495
2,Jardin 2,13,43136.9,plaza,-34.542518,-58.344519
3,Plazoleta 3,8,3341.3,jardin,-34.617793,-58.506294
4,Plaza 4,2,19798.3,parque,-34.573218,-58.461324
5,Plazoleta 5,15,2460.0,plaza,-34.568608,-58.485701
6,Plaza 6,9,49925.5,plazoleta,-34.534991,-58.501227
7,Plaza 7,1,41854.1,plaza,-34.605919,-58.40599
8,Parque 8,11,62782.5,plaza,-34.600538,-58.471522
9,Plaza 9,7,88807.5,plaza,-34.596403,-58.440065
10,Plazoleta 10,2,66362.6,parque,-34.651296,-58.353808
11,Parque 11,10,2072.0,plaza,-34.579187,-58.435306
12,Plaza 12,9,79233.9,parque,-34.545633,-58.37631
13,Parque 13,13,78571.0,plaza,-34.562605,-58.50134
14,Plaza 14,3,63606.5,jardin,-34.569847,-58.351647
15,Jardin 15,12,83345.2,jardin,-34.68133,-58.375117
16,Parque 16,1,765.1,parque,-34.54287,-58.525383
17,Jardin 17,4,29506.9,jardin,-34.680402,-58.397223
18,Parque 18,13,62816.1,plazoleta,-34.553998,-58.387744
19,Parque 19,8,74670.9,plaza,-34.631745,-58.418974
20,Plazoleta 20,4,8995.0,plazoleta,-34.532124,-58.530541
21,Jardin 21,3,33632.0,plazoleta,-34.59265,-58.364554
22,Parque 22,1,15692.5,jardin,-34.639553,-58.3912
23,Parque 23,3,64213.8,plazoleta,-34.577541,-58.390959
24,Plazoleta 24,10,81588.6,jardin,-34.59335,-58.436874
25,Jardin 25,15,65919.2,plaza,-34.5587,-58.364324
26,Jardin 26,1,34857.0,plazoleta,-34.623099,-58.465035
27,Jardin 27,2,88069.6,parque,-34.581746,-58.519154
28,Parque 28,13,16866.2,plazoleta,-34.675605,-58.489049
29,Plazoleta 29,9,63223.3,jardin,-34.647717,-58.454313
30,Plaza 30,12,14665.2,plazoleta,-34.603791,-58.460025
31,Parque 31,13,52537.5,jardin,-34.532663,-58.462204
32,Jardin 32,12,75831.3,parque,-34.626224,-58.419644
33,Plaza 33,13,20402.1,jardin,-34.65348,-58.369926
34,Parque 34,10,76948.4,jardin,-34.594823,-58.402827
35,Plaza 35,10,18608.8,plazoleta,-34.700828,-58.529397
36,Plazoleta 36,8,7293.5,plaza,-34.651473,-58.471179
37,Plazoleta 37,10,83121.8,plazoleta,-34.618715,-58.496562
38,Parque 38,7,48846.4,plazoleta,-34.645299,-58.441028
39,Parque 39,6,50667.1,plazoleta,-34.553804,-58.392798
40,Plaza 40,13,7429.6,plazoleta,-34.561166,-58.43788
41,Plazoleta 41,5,88849.7,jardin,-34.602708,-58.39917
42,Plazoleta 42,9,4945.7,plaza,-34.578774,-58.461174
43,Plaza 43,7,20152.0,plaza,-34.597278,-58.385506
44,Parque 44,9,45737.3,jardin,-34.679266,-58.521911
45,Plaza 45,14,66500.0,plaza,-34.57894,-58.499626
46,Parque 46,8,78245.8,parque,-34.540214,-58.364308
47,Jardin 47,1,3303.7,plaza,-34.691083,-58.524376
48,Jardin 48,11,66212.9,plazoleta,-34.638791,-58.444358
49,Parque 49,5,45338.8,jardin,-34.570318,-58.36968
50,Parque 50,1,24232.5,parque,-34.52921,-58.374804
51,Plaza 51,1,25634.8,plazoleta,-34.529201,-58.418406
52,Plazoleta 52,14,67365.6,parque,-34.60462,-58.364539
53,Parque 53,8,36549.2,plazoleta,-34.593693,-58.490049
54,Plazoleta 54,3,49654.7,plazoleta,-34.586663,-58.508915
55,Jardin 55,5,29169.4,jardin,-34.678321,-58.380852
56,Jardin 56,12,11222.7,plazoleta,-34.615491,-58.346062
57,Plazoleta 57,5,33765.3,plaza,-34.620697,-58.408073
58,Jardin 58,11,47520.3,plaza,-34.562487,-58.436458
59,Plaza 59,15,87474.8,plazoleta,-34.526442,-58.422922
60,Parque 60,1,43284.5,plazoleta,-34.605335,-58.456667
61,Plaza 61,9,367.6,jardin,-34.680634,-58.381892
62,Plazoleta 62,1,50490.8,plaza,-34.62692,-58.459968
63,Jardin 63,7,76143.1,plazoleta,-34.563672,-58.526575
64,Plaza 64,2,84257.4,jardin,-34.537742,-58.439768
65,Plaza 65,13,7623.7,plazoleta,-34.690838,-58.510448
66,Jardin 66,11,61805.3,parque,-34.631665,-58.529588
67,Parque 67,11,56635.6,plaza,-34.643906,-58.386817
68,Jardin 68,14,5391.8,jardin,-34.563891,-58.42952
69,Parque 69,11,47717.9,plaza,-34.581631,-58.482202
70,Jardin 70,3,6975.0,plaza,-34.671971,-58.363086
71,Jardin 71,11,79089.4,plaza,-34.703542,-58.512739
72,Parque 72,6,76905.4,jardin,-34.549059,-58.336556
73,Plaza 73,13,55154.0,jardin,-34.577851,-58.443318
74,Parque 74,4,56759.8,plazoleta,-34.664302,-58.503375
75,Jardin 75,2,77360.1,plaza,-34.548901,-58.470157
76,Plazoleta 76,14,72086.0,plaza,-34.703897,-58.359696
77,Plaza 77,7,70333.0,plazoleta,-34.601953,-58.453772
78,Parque 78,6,45337.0,jardin,-34.557036,-58.526821
79,Jardin 79,1,23776.0,jardin,-34.554873,-58.484376
80,Plazoleta 80,4,55703.5,plazoleta,-34.629527,-58.407634
81,Jardin 81,13,10408.7,plazoleta,-34.597361,-58.509036
82,Parque 82,14,89413.2,jardin,-34.58715,-58.369477
83,Parque 83,1,27731.4,jardin,-34.562802,-58.4707
84,Plaza 84,6,34499.8,plaza,-34.601355,-58.485875
85,Plazoleta 85,13,30377.7,plaza,-34.588282,-58.414464
86,Plaza 86,14,21307.1,jardin,-34.606835,-58.44847
87,Plazoleta 87,1,80822.9,parque,-34.579063,-58.522943
88,Jardin 88,6,62818.8,plaza,-34.635088,-58.482638
89,Plaza 89,5,45621.7,plazoleta,-34.607411,-58.413373
90,Plaza 90,15,21281.6,plazoleta,-34.655399,-58.430789
91,Plazoleta 91,13,7962.0,parque,-34.598537,-58.346616
92,Plaza 92,10,55174.4,jardin,-34.60688,-58.485556
93,Jardin 93,10,88280.4,plaza,-34.529307,-58.499832
94,Parque 94,2,6182.2,plaza,-34.560226,-58.425426
95,Parque 95,6,31281.4,parque,-34.550838,-58.448984
96,Plazoleta 96,6,65025.4,jardin,-34.638799,-58.509031
97,Plazoleta 97,12,75482.9,plaza,-34.586459,-58.377477
98,Plaza 98,3,70943.4,plazoleta,-34.682266,-58.395298
99,Plaza 99,14,49850.7,plazoleta,-34.66238,-58.379743
100,Plazoleta 100,1,62177.8,plaza,-34.596668,-58.444374
101,Parque 101,13,29347.2,plazoleta,-34.647596,-58.39347
102,Parque 102,3,9692.8,plaza,-34.529508,-58.480067
103,Parque 103,4,20190.2,plaza,-34.656459,-58.337535
104,Parque 104,1,30989.6,plaza,-34.697008,-58.39951
105,Parque 105,2,57180.7,parque,-34.572786,-58.463408
106,Parque 106,14,39671.0,parque,-34.570649,-58.429655
107,Plaza 107,13,78510.6,parque,-34.64843,-58.440903
108,Parque 108,6,82178.1,plazoleta,-34.672442,-58.371437
109,Jardin 109,15,19722.8,plazoleta,-34.65789,-58.48648
110,Jardin 110,3,44735.7,plazoleta,-34.658845,-58.469091
111,Parque 111,5,67396.8,parque,-34.570841,-58.460568
112,Jardin 112,15,49892.7,plazoleta,-34.551786,-58.434171
113,Parque 113,4,25727.5,parque,-34.594997,-58.46897
114,Plazoleta 114,6,23042.5,plaza,-34.658521,-58.50137
115,Plazoleta 115,1,26188.3,parque,-34.635053,-58.52547
116,Parque 116,3,62019.0,jardin,-34.601913,-58.47566
117,Jardin 117,4,41400.5,plazoleta,-34.612838,-58.381928
118,Parque 118,2,78119.5,jardin,-34.600074,-58.388383
119,Plazoleta 119,7,28382.5,plaza,-34.682996,-58.464168
120,Parque 120,9,15376.5,jardin,-34.659221,-58.398196
121,Parque 121,1,47377.9,plaza,-34.675972,-58.403863
122,Parque 122,3,33103.9,jardin,-34.667883,-58.515067
123,Jardin 123,1,57511.1,jardin,-34.582383,-58.35382
124,Parque 124,7,57400.9,parque,-34.626339,-58.457508
125,Plazoleta 125,12,32511.6,plaza,-34.54923,-58.467961
126,Plaza 126,13,60973.0,jardin,-34.586742,-58.413786
127,Jardin 127,13,10450.2,plazoleta,-34.537589,-58.345384
128,Jardin 128,1,16059.6,jardin,-34.541734,-58.471819
129,Jardin 129,5,3182.4,plazoleta,-34.589384,-58.474148
130,Plazoleta 130,12,76519.7,parque,-34.540106,-58.391962
131,Plazoleta 131,9,32553.0,jardin,-34.674973,-58.516928
132,Parque 132,11,34321.8,parque,-34.532444,-58.438084
133,Plazoleta 133,6,14480.6,jardin,-34.63378,-58.43749
134,Plaza 134,8,33824.2,plaza,-34.58543,-58.512049
135,Parque 135,11,30110.1,plazoleta,-34.574616,-58.436471
136,Parque 136,4,64339.8,parque,-34.683326,-58.422347
137,Jardin 137,7,11674.7,parque,-34.589152,-58.522951
138,Jardin 138,3,953.1,plaza,-34.645755,-58.454697
139,Parque 139,4,6963.3,plaza,-34.613639,-58.508197
140,Plazoleta 140,3,66165.9,plaza,-34.614418,-58.34215
141,Jardin 141,2,41318.5,plazoleta,-34.571427,-58.488979
142,Jardin 142,11,7408.9,parque,-34.689695,-58.385189
143,Parque 143,6,48286.3,parque,-34.664884,-58.463747
144,Plazoleta 144,4,87871.3,parque,-34.609741,-58.478123
145,Parque 145,15,84730.4,parque,-34.665572,-58.356414
146,Jardin 146,12,80167.4,jardin,-34.589584,-58.427142
147,Plazoleta 147,1,78717.0,jardin,-34.535565,-58.441332
148,Plazoleta 148,11,23197.1,parque,-34.567765,-58.511899
149,Parque 149,3,1854.8,plazoleta,-34.540694,-58.34006
150,Plaza 150,5,2563.4,parque,-34.650065,-58.514715
151,Jardin 151,9,72528.0,plazoleta,-34.550948,-58.381871
152,Parque 152,14,78329.7,jardin,-34.658452,-58.401312
153,Jardin 153,14,21285.2,jardin,-34.592613,-58.472685
154,Parque 154,6,69275.0,plaza,-34.557389,-58.398962
155,Plaza 155,14,22559.6,jardin,-34.683343,-58.373521
156,Plazoleta 156,7,18799.0,plazoleta,-34.536907,-58.502992
157,Parque 157,1,63070.0,plaza,-34.599458,-58.481228
158,Plazoleta 158,1,87093.2,plazoleta,-34.62246,-58.347287
159,Plaza 159,2,49209.8,plaza,-34.680245,-58.405817
160,Jardin 160,13,22107.4,parque,-34.597018,-58.402475
161,Jardin 161,1,69999.8,jardin,-34.670247,-58.527392
162,Plazoleta 162,2,69807.2,plaza,-34.651488,-58.479174
163,Plaza 163,14,52848.0,plazoleta,-34.65992,-58.497289
164,Jardin 164,9,1792.5,parque,-34.59716,-58.443408
165,Jardin 165,5,81959.3,parque,-34.656588,-58.367764
166,Parque 166,12,66819.3,plazoleta,-34.679125,-58.351714
167,Plaza 167,8,63198.2,parque,-34.671213,-58.383625
168,Plazoleta 168,6,35635.2,parque,-34.632637,-58.429652
169,Plazoleta 169,2,670.3,parque,-34.681075,-58.420175
170,Plazoleta 170,1,52445.8,jardin,-34.526878,-58.416031
171,Jardin 171,12,47409.0,parque,-34.575047,-58.349364
172,Plazoleta 172,8,35484.3,jardin,-34.664465,-58.370379
173,Jardin 173,6,29310.5,parque,-34.585441,-58.360059
174,Plazoleta 174,3,63723.8,parque,-34.648659,-58.458962
175,Parque 175,15,61919.1,jardin,-34.693236,-58.437732
176,Parque 176,13,38334.5,plazoleta,-34.684171,-58.343363
177,Jardin 177,1,89674.7,parque,-34.586185,-58.365355
178,Plazoleta 178,2,42420.7,plazoleta,-34.694485,-58.385773
179,Plaza 179,10,15552.7,plaza,-34.699285,-58.343969
180,Plazoleta 180,7,68799.6,plaza,-34.628274,-58.507158
181,Plazoleta 181,3,27734.9,plaza,-34.605433,-58.471812
182,Parque 182,1,65340.2,plaza,-34.681248,-58.393838
183,Jardin 183,1,52145.1,plazoleta,-34.634402,-58.420725
184,Plaza 184,5,68242.3,jardin,-34.566464,-58.384242
185,Plaza 185,14,3546.9,plaza,-34.547439,-58.403395
186,Jardin 186,12,12746.4,plaza,-34.623765,-58.429695
187,Parque 187,2,29377.4,plazoleta,-34.69584,-58.394982
188,Parque 188,5,10154.2,parque,-34.571441,-58.393953
189,Jardin 189,7,9600.2,parque,-34.663943,-58.433302
190,Parque 190,13,13796.3,jardin,-34.5419,-58.499
191,Plazoleta 191,1,78384.5,plaza,-34.529778,-58.440597
192,Parque 192,1,15685.6,parque,-34.548816,-58.492789
193,Plaza 193,11,72521.2,jardin,-34.554939,-58.459833
194,Parque 194,14,38212.3,jardin,-34.555975,-58.446305
195,Plazoleta 195,2,16535.4,jardin,-34.666987,-58.35891
196,Parque 196,1,33188.2,plaza,-34.622524,-58.394921
197,Jardin 197,4,1789.3,parque,-34.584916,-58.48878
198,Parque 198,9,6777.0,plaza,-34.53249,-58.463456
199,Plazoleta 199,5,58040.4,plaza,-34.691388,-58.359581
200,Plaza 200,5,72739.4,parque,-34.698663,-58.421917
201,Jardin 201,12,33312.7,plazoleta,-34.607302,-58.380941
202,Plaza 202,15,61980.6,plazoleta,-34.534866,-58.362996
203,Plaza 203,14,85323.6,plaza,-34.673716,-58.524698
204,Plazoleta 204,1,37414.0,plazoleta,-34.592866,-58.497605
205,Parque 205,15,9937.4,plazoleta,-34.548735,-58.442631
206,Parque 206,13,59310.8,plazoleta,-34.559727,-58.431716
207,Plaza 207,6,77985.7,plaza,-34.527051,-58.494995
208,Jardin 208,13,53529.0,plaza,-34.632087,-58.439866
209,Parque 209,11,70969.4,plaza,-34.630766,-58.444279
210,Parque 210,5,19398.2,plaza,-34.582709,-58.528003
211,Parque 211,6,36984.1,plaza,-34.639675,-58.439402
212,Plazoleta 212,11,82359.0,plazoleta,-34.617196,-58.503463
213,Plazoleta 213,4,74667.1,parque,-34.70244,-58.408968
214,Jardin 214,6,46893.8,plazoleta,-34.568914,-58.505585
215,Jardin 215,14,188.9,plaza,-34.569629,-58.464364
216,Jardin 216,14,10175.5,jardin,-34.699736,-58.519176
217,Plazoleta 217,10,62664.1,plaza,-34.619325,-58.345278
218,Plazoleta 218,11,22851.0,parque,-34.602018,-58.352389
219,Plaza 219,1,16072.6,parque,-34.608916,-58.368651
220,Plazoleta 220,10,61037.5,parque,-34.624167,-58.39304
221,Jardin 221,1,68145.2,jardin,-34.597749,-58.512903
222,Plazoleta 222,8,82831.3,parque,-34.610657,-58.429829
223,Parque 223,5,89638.1,parque,-34.544098,-58.440478
224,Jardin 224,7,58129.5,jardin,-34.672988,-58.527253
225,Plazoleta 225,13,85343.4,plazoleta,-34.671509,-58.503566
226,Plazoleta 226,7,22196.2,jardin,-34.550381,-58.352188
227,Parque 227,11,34816.8,plazoleta,-34.5821,-58.441642
228,Plazoleta 228,3,7494.2,plazoleta,-34.692587,-58.376881
229,Plazoleta 229,10,21972.6,plazoleta,-34.572965,-58.437994
230,Plaza 230,15,60087.6,plaza,-34.529401,-58.465045
